,start_hour,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,trip_duration,gender,time_of_day
25836,12,40.73827428,-73.98751968,40.74238787,-73.99726235,329,2,Mid-day& Afternoon
25837,0,40.69089272,-73.99612349,40.70905623,-74.01043382,979,1,Morning hours
25838,17,40.7014851,-73.98656928,40.70281858,-73.98765762,452,1,Evening and night
25839,7,40.6851443,-73.95380904,40.69236178,-73.98631746,2220,1,Morning hours
25840,17,40.748238,-73.978311,40.744219,-73.97121214,298,1,Evening and night
25841,20,40.73223272,-73.98889957,40.72467721,-73.98783413,868,1,Evening and night
25842,17,40.74315566,-73.97434726,40.76344058,-73.98268129,330,1,Evening and night
25843,9,40.73587678,-73.98205027,40.73172428,-74.00674436,1008,1,Mid-day& Afternoon
25844,15,40.746647,-73.993915,40.7405826,-74.00550867,547,1,Mid-day& Afternoon
25845,1,40.746745,-74.007756,40.76019252,-73.9912551,943,1,Morning hours
25846,15,40.76344058,-73.98268129,40.73416059,-73.98024289,783,2,Mid-day& Afternoon
25847,18,40.72873888,-74.00748842,40.71910537,-73.99973337,759,2,Evening and night
25848,17,40.72405549,-74.00965965,40.73261787,-73.99158043,907,2,Evening and night
25849,16,40.71336124,-74.00937622,40.75044999,-73.99481051,908,1,Evening and night
25850,17,40.71605866,-73.99190759,40.74394314,-73.97966069,1329,1,Evening and night
25851,21,40.71743998,-74.00583475,40.71542197,-74.01121978,266,1,Evening and night
25852,21,40.7390169121,-74.0026376103,40.74691959,-74.00451887,313,1,Evening and night
25853,6,40.749156,-73.9916,40.752062307,-73.9816324043,620,1,Morning hours
25854,15,40.7451677,-73.98683077,40.74444921,-73.98303529,552,2,Mid-day& Afternoon
25855,9,40.74691959,-74.00451887,40.74173969,-73.99415556,364,1,Mid-day& Afternoon
25856,12,40.74173969,-73.99415556,40.73314259,-73.97573881,582,1,Mid-day& Afternoon
25857,0,40.6906495,-73.95643107,40.68691865,-73.976682,492,2,Morning hours
25858,16,40.72453734,-73.98185424,40.70355377,-74.00670227,1552,1,Evening and night
25859,15,40.7405826,-74.00550867,40.734232,-73.986923,610,1,Mid-day& Afternoon
25860,8,40.70834698,-74.01713445,40.7153379,-74.01658354,331,2,Mid-day& Afternoon
25861,20,40.73261787,-73.99158043,40.71754834,-74.01322069,840,1,Evening and night
25862,18,40.74206539,-74.00443172,40.73047309,-73.98672378,879,1,Evening and night
25863,19,40.7158155,-73.99422366,40.7158155,-73.99422366,1576,2,Evening and night
25864,19,40.70277159,-73.99383605,40.70277159,-73.99383605,263,1,Evening and night
25865,16,40.71450451,-74.00562789,40.7047177,-74.00926027,352,1,Evening and night
25866,16,40.70569254,-74.01677685,40.7153379,-74.01658354,1828,2,Evening and night
25867,16,40.75466591,-73.99138152,40.74317449,-74.00366443,502,1,Evening and night
25868,7,40.69512845,-73.99595065,40.69246277,-73.98963911,172,1,Morning hours
25869,10,40.73492695,-73.99200509,40.73047747,-73.99906065,392,1,Mid-day& Afternoon
25870,9,40.71782143,-73.97628939,40.71406667,-73.99293911,587,1,Mid-day& Afternoon
25871,20,40.736502,-73.97809472,40.7381765,-73.97738662,96,1,Evening and night
25872,13,40.73726186,-73.99238967,40.7489006,-73.97604882,400,1,Mid-day& Afternoon
25873,9,40.71605866,-73.99190759,40.74315566,-73.97434726,869,2,Mid-day& Afternoon
25874,22,40.73221853,-73.98165557,40.72217444,-73.98368779,428,1,Evening and night
25875,9,40.73028666,-73.9907647,40.74901271,-73.98848395,716,1,Mid-day& Afternoon
25876,11,40.72873888,-74.00748842,40.74206539,-74.00443172,520,1,Mid-day& Afternoon
25877,12,40.7218158,-73.99720307,40.7457121,-73.98194829,760,1,Mid-day& Afternoon
25878,18,40.74487634,-73.99529885,40.76020258,-73.96478473,1304,1,Evening and night
25879,15,40.71450451,-74.00562789,40.724399,-74.004704,430,1,Mid-day& Afternoon
25880,14,40.7652654,-73.98192338,40.768254,-73.988639,217,2,Mid-day& Afternoon
25881,22,40.73492695,-73.99200509,40.72710258,-74.00297088,502,1,Evening and night
25882,12,40.73172428,-74.00674436,40.73047747,-73.99906065,330,1,Mid-day& Afternoon
25883,18,40.7643971,-73.97371465,40.71602118,-73.99974372,2697,1,Evening and night
25884,17,40.7489006,-73.97604882,40.75019995,-73.99093085,475,1,Evening and night
25885,13,40.73226398,-73.99852205,40.73331967,-73.99510132,151,2,Mid-day& Afternoon
25886,13,40.73587678,-73.98205027,40.7457121,-73.98194829,951,2,Mid-day& Afternoon
25887,8,40.76461837,-73.98789473,40.75849116,-73.95920622,913,1,Mid-day& Afternoon
25888,9,40.74238787,-73.99726235,40.71850211,-73.98329859,2174,1,Mid-day& Afternoon
25889,10,40.74394314,-73.97966069,40.7489006,-73.97604882,614,1,Mid-day& Afternoon
25890,19,40.72019576,-73.98997825,40.7208736,-73.98085795,709,1,Evening and night
25891,16,40.75640548,-73.9900262,40.73038599,-74.00214988,297,1,Evening and night
25892,7,40.75660359,-73.9979009,40.73331967,-73.99510132,1039,1,Morning hours
25893,13,40.746745,-74.007756,40.74475148,-73.99915362,389,2,Mid-day& Afternoon
25894,14,40.7643971,-73.97371465,40.7606597,-73.98042047,478,1,Mid-day& Afternoon
25895,17,40.71219906,-73.97948148,40.746745,-74.007756,1231,1,Evening and night
25896,11,40.72456089,-73.99565293,40.75038009,-73.98338988,964,1,Mid-day& Afternoon
25897,17,40.72229346,-73.99147535,40.710451,-73.960876,1036,1,Evening and night
25898,3,40.73331967,-73.99510132,40.74025878,-73.98409214,351,1,Morning hours
25899,8,40.736502,-73.97809472,40.74765947,-73.98490707,913,2,Mid-day& Afternoon
25900,15,40.714215,-73.981346,40.75097711,-73.98765428,2229,2,Mid-day& Afternoon
25901,17,40.74395411,-73.99144871,40.7454973,-74.00197139,300,1,Evening and night
25902,12,40.72110063,-73.9919254,40.72066442,-73.98517977,270,1,Mid-day& Afternoon
25903,10,40.73726186,-73.99238967,40.75929124,-73.98859651,1781,1,Mid-day& Afternoon
25904,18,40.711512,-74.015756,40.71473993,-74.00910627,340,1,Evening and night
25905,14,40.73038599,-74.00214988,40.73172428,-74.00674436,281,1,Mid-day& Afternoon
25906,16,40.7575699,-73.99098507,40.752062307,-73.9816324043,469,1,Evening and night
25907,15,40.687979,-73.978474,40.75038009,-73.98338988,236,1,Mid-day& Afternoon
25908,14,40.75038009,-73.98338988,40.73971301,-73.99456405,1349,1,Mid-day& Afternoon
25909,17,40.73224119,-74.00026394,40.76915505,-73.98191841,2038,1,Evening and night
25910,8,40.728145,-73.990214,40.73971301,-73.99456405,568,1,Mid-day& Afternoon
25911,9,40.739323,-74.008119,40.74195138,-74.00803013,170,1,Mid-day& Afternoon
25912,20,40.75513557,-73.98658032,40.72873888,-74.00748842,962,1,Evening and night
25913,17,40.75038009,-73.98338988,40.76269882,-73.99301222,278,2,Evening and night
25914,10,40.70530954,-74.00612572,40.746745,-74.007756,1070,1,Mid-day& Afternoon
25915,20,40.72740794,-73.98142006,40.72229346,-73.99147535,518,2,Evening and night
25916,1,40.72903917,-73.99404649,40.7390169121,-74.0026376103,501,1,Morning hours
25917,19,40.744219,-73.97121214,40.756014,-73.967416,974,1,Evening and night
25918,11,40.73331967,-73.99510132,40.7546011026,-73.971878855,958,1,Mid-day& Afternoon
25919,22,40.75001986,-73.96905301,40.72229346,-73.99147535,1036,2,Evening and night
25920,15,40.76095756,-73.96724467,40.73726186,-73.99238967,998,1,Mid-day& Afternoon
25921,10,40.76370739,-73.9851615,40.76695317,-73.98169333,214,1,Mid-day& Afternoon
25922,13,40.73781509,-73.99994661,40.73492695,-73.99200509,388,1,Mid-day& Afternoon
25923,5,40.7153379,-74.01658354,40.72740794,-73.98142006,310,1,Morning hours
25924,12,40.73028666,-73.9907647,40.72740794,-73.98142006,289,1,Mid-day& Afternoon
25925,17,40.74173969,-73.99415556,40.711512,-74.015756,1385,1,Evening and night
25926,20,40.73649403,-73.99704374,40.74691959,-74.00451887,571,1,Evening and night
25927,18,40.75188406,-73.97770164,40.73587678,-73.98205027,628,1,Evening and night
25928,9,40.75038009,-73.98338988,40.76019252,-73.9912551,443,1,Mid-day& Afternoon
25929,14,40.72743423,-73.99379025,40.72228087,-73.97668709,615,1,Mid-day& Afternoon
25930,8,40.73827428,-73.98751968,40.71273266,-74.0046073,850,2,Mid-day& Afternoon
25931,18,40.75149263,-73.97798848,40.711512,-74.015756,1721,1,Evening and night
25932,10,40.7390169121,-74.0026376103,40.75645824,-73.99372222,655,1,Mid-day& Afternoon
25933,9,40.74144387,-73.97536082,40.752062307,-73.9816324043,755,1,Mid-day& Afternoon
25934,6,40.73416059,-73.98024289,40.7462009,-73.98855723,527,1,Morning hours
25935,9,40.711512,-74.015756,40.72490985,-74.00154702,717,1,Mid-day& Afternoon
25936,21,40.76370739,-73.9851615,40.76695317,-73.98169333,163,1,Evening and night
25937,17,40.74315566,-73.97434726,40.70955958,-74.00653609,2016,1,Evening and night
25938,11,40.68528172,-73.97805813,40.71743998,-74.00583475,1380,2,Mid-day& Afternoon
25939,20,40.76087502,-74.00277668,40.72873888,-74.00748842,1198,2,Evening and night
25940,7,40.69760127,-73.99344559,40.69089272,-73.99612349,229,1,Morning hours
25941,0,40.73223272,-73.98889957,40.73649403,-73.99704374,2697,2,Morning hours
25942,19,40.73314259,-73.97573881,40.71269042,-73.98776323,1034,1,Evening and night
25943,12,40.73454567,-73.99074142,40.72710258,-74.00297088,480,2,Mid-day& Afternoon
25944,14,40.76344058,-73.98268129,40.7451677,-73.98683077,97,1,Mid-day& Afternoon
25945,6,40.74765947,-73.98490707,40.73221853,-73.98165557,725,1,Morning hours
25946,18,40.71307916,-73.99851193,40.7153379,-74.01658354,699,1,Evening and night
25947,10,40.74177603,-74.00149746,40.74334935,-74.00681753,164,1,Mid-day& Afternoon
25948,6,40.74395411,-73.99144871,40.75513557,-73.98658032,448,1,Morning hours
25949,17,40.75828065,-73.97069431,40.71729,-73.996375,1936,1,Evening and night
25950,6,40.739323,-74.008119,40.71413089,-73.9970468,1079,1,Morning hours
25951,21,40.76019252,-73.9912551,40.75660359,-73.9979009,249,1,Evening and night
25952,9,40.752062307,-73.9816324043,40.75510267,-73.97498696,313,1,Mid-day& Afternoon
25953,18,40.71273266,-74.0046073,40.70251526,-74.01427023,914,1,Evening and night
25954,19,40.7149787,-74.013012,40.70365182,-74.01167797,757,2,Evening and night
25955,17,40.68807003,-73.98410637,40.7575699,-73.99098507,1734,1,Evening and night
25956,16,40.72228087,-73.97668709,40.7262807,-73.98978041,402,1,Evening and night
25957,4,40.74691959,-74.00451887,40.75255434,-73.97282625,1049,2,Morning hours
25958,12,40.74395411,-73.99144871,40.74901271,-73.98848395,380,1,Mid-day& Afternoon
25959,20,40.68528172,-73.97805813,40.68415748,-73.96922273,292,2,Evening and night
25960,12,40.73935542,-73.99931783,40.74444921,-73.98303529,1136,2,Mid-day& Afternoon
25961,8,40.74025878,-73.98409214,40.74177603,-74.00149746,497,1,Mid-day& Afternoon
25962,13,40.73223272,-73.98889957,40.73028666,-73.9907647,167,1,Mid-day& Afternoon
25963,12,40.7381765,-73.97738662,40.72917025,-73.99810231,888,1,Mid-day& Afternoon
25964,19,40.76087502,-74.00277668,40.711512,-74.015756,1355,2,Evening and night
25965,18,40.75645824,-73.99372222,40.74206539,-74.00443172,601,1,Evening and night
25966,13,40.7405826,-74.00550867,40.73535398,-74.00483091,150,1,Mid-day& Afternoon
25967,18,40.72362738,-73.99949601,40.73172428,-74.00674436,490,1,Evening and night
25968,14,40.75849116,-73.95920622,40.734232,-73.986923,1162,1,Mid-day& Afternoon
25969,18,40.74691959,-74.00451887,40.7403432,-73.98955109,461,1,Evening and night
25970,18,40.74173969,-73.99415556,40.749717753,-74.002950346,502,1,Evening and night
25971,20,40.72502876,-73.99069656,40.72299208,-73.97995466,450,2,Evening and night
25972,17,40.72066442,-73.98517977,40.72082834,-73.97793172,232,1,Evening and night
25973,9,40.76087502,-74.00277668,40.739323,-74.008119,972,1,Mid-day& Afternoon
25974,16,40.72229346,-73.99147535,40.72066442,-73.98517977,170,2,Evening and night
25975,9,40.7457121,-73.98194829,40.75320159,-73.9779874,2697,1,Mid-day& Afternoon
25976,23,40.72362738,-73.99949601,40.71625008,-74.0091059,553,1,Evening and night
25977,7,40.75044999,-73.99481051,40.70905623,-74.01043382,1273,1,Morning hours
25978,1,40.71926081,-73.98178024,40.7381765,-73.97738662,541,1,Morning hours
25979,21,40.71076228,-73.99400398,40.71413089,-73.9970468,264,1,Evening and night
25980,14,40.75500254,-73.98014437,40.7575699,-73.99098507,477,1,Mid-day& Afternoon
25981,10,40.69221589,-73.9842844,40.68926942,-73.98912867,1552,1,Mid-day& Afternoon
25982,18,40.75066386,-74.00176802,40.76227205,-73.98788205,667,1,Evening and night
25983,22,40.76915505,-73.98191841,40.73401143,-74.00293877,1449,1,Evening and night
25984,16,40.75500254,-73.98014437,40.7423543,-73.98915076,1204,1,Evening and night
25985,18,40.72903917,-73.99404649,40.73226398,-73.99852205,205,1,Evening and night
25986,15,40.72710258,-74.00297088,40.73492695,-73.99200509,545,1,Mid-day& Afternoon
25987,19,40.7403432,-73.98955109,40.7284186,-73.98713956,707,1,Evening and night
25988,15,40.76341379,-73.99667444,40.72873888,-74.00748842,1619,2,Mid-day& Afternoon
25989,7,40.74691959,-74.00451887,40.7390169121,-74.0026376103,359,2,Morning hours
25990,17,40.70281858,-73.98765762,40.69308257,-73.97178913,555,1,Evening and night
25991,17,40.7208736,-73.98085795,40.722055,-73.989111,388,1,Evening and night
25992,17,40.73221853,-73.98165557,40.73912601,-73.97973776,465,1,Evening and night
25993,16,40.7403432,-73.98955109,40.7454973,-74.00197139,515,2,Evening and night
25994,9,40.70251526,-74.01427023,40.76087502,-74.00277668,1946,2,Mid-day& Afternoon
25995,10,40.72405549,-74.00965965,40.75714758,-73.97207836,1892,1,Mid-day& Afternoon
25996,8,40.73047747,-73.99906065,40.70463334,-74.01361706,1406,2,Mid-day& Afternoon
25997,18,40.71910537,-73.99973337,40.71291224,-74.01020234,441,1,Evening and night
25998,14,40.739323,-74.008119,40.72217444,-73.98368779,1552,1,Mid-day& Afternoon
25999,11,40.74206539,-74.00443172,40.73532427,-73.99800419,308,1,Mid-day& Afternoon
26000,18,40.73291553,-74.00711384,40.73401143,-74.00293877,331,2,Evening and night
26001,18,40.71291224,-74.01020234,40.73223272,-73.98889957,1239,2,Evening and night
26002,15,40.76095756,-73.96724467,40.75849116,-73.95920622,668,1,Mid-day& Afternoon
26003,18,40.73226398,-73.99852205,40.73704984,-73.99009296,965,1,Evening and night
26004,9,40.76341379,-73.99667444,40.75513557,-73.98658032,1143,1,Mid-day& Afternoon
26005,19,40.72453734,-73.98185424,40.72229346,-73.99147535,456,2,Evening and night
26006,9,40.69236178,-73.98631746,40.72243797,-74.00566443,1069,1,Mid-day& Afternoon
26007,19,40.710451,-73.960876,40.71622644,-73.98261206,910,2,Evening and night
26008,6,40.68528172,-73.97805813,40.69246277,-73.98963911,369,1,Morning hours
26009,12,40.7546011026,-73.971878855,40.75206862,-73.96784384,199,1,Mid-day& Afternoon
26010,13,40.7451677,-73.98683077,40.75255434,-73.97282625,646,1,Mid-day& Afternoon
26011,15,40.768254,-73.988639,40.724399,-74.004704,1508,1,Mid-day& Afternoon
26012,13,40.72405549,-74.00965965,40.71748752,-74.0104554,285,1,Mid-day& Afternoon
26013,8,40.72779126,-73.98564945,40.72710258,-74.00297088,637,1,Mid-day& Afternoon
26014,8,40.75044999,-73.99481051,40.74177603,-74.00149746,602,2,Mid-day& Afternoon
26015,9,40.74734825,-73.99723551,40.73224119,-74.00026394,624,1,Mid-day& Afternoon
26016,10,40.69580705,-73.97355569,40.7451677,-73.98683077,333,1,Mid-day& Afternoon
26017,16,40.76695317,-73.98169333,40.74901271,-73.98848395,896,1,Evening and night
26018,10,40.71870987,-74.0090009,40.72502876,-73.99069656,934,2,Mid-day& Afternoon
26019,20,40.69239502,-73.99337909,40.700469,-73.991454,310,1,Evening and night
26020,21,40.74734825,-73.99723551,40.7153379,-74.01658354,1315,1,Evening and night
26021,20,40.75510267,-73.97498696,40.748238,-73.978311,344,1,Evening and night
26022,18,40.70281858,-73.98765762,40.72229346,-73.99147535,840,2,Evening and night
